,level_0,index,channelId,channelTitle,categoryId,title,videoId,publishedAt,viewCount,likeCount,dislikeCount,commentCount,tags,channelVideoId,datePublished,todayDate,daysPublished,averageViewCount,positiveRating,negativeRating,engagementRating
99,9,2,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,How Much I Earned in 2020 - My Best Year Ever,VTTp5A-rSdc,2020-12-28T15:58:20Z,613991,39498,552,8626,"['Ali Abdaal', 'Ali abdal', 'how much money i make', 'how much money I made', 'youtuber money', 'youtube money', 'doctor salary uk', 'how much do youtubers make', 'how much money youtubers make', 'how much does ali abdaal make', 'ali abdaal net worth', 'how much money 2020', 'online business', 'how much money i make on youtube', 'how to make money on youtube', 'how much money do youtubers make', 'ali abdaal vlog', 'how much money i made on youtube', 'how much does youtube pay', 'how much do small youtubers make']",Ali Abdaal 9,2020-12-28,2021-02-28,62,9903.0,6.43,0.09,1.4
100,10,11,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,22,My INSANELY Productive Christmas Day,9s7AXw7o76Q,2020-12-26T18:00:02Z,310577,18436,637,1954,"['Ali Abdaal', 'Ali abdal', 'christmas', 'christmas vlog 2020', 'christmas morning routine', 'how to be productive', 'productive morning routine', 'day in my life', 'morning routines', 'christmas day', 'productive christmas']",Ali Abdaal 10,2020-12-26,2021-02-28,64,4853.0,5.94,0.21,0.63
101,11,14,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,15 Books To Read In 2021,w47z_wz6XBA,2020-12-24T16:00:16Z,276494,12299,100,630,"['Ali Abdaal', 'Ali abdal']",Ali Abdaal 11,2020-12-24,2021-02-28,66,4189.0,4.45,0.04,0.23
102,12,22,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,20 Lessons that Improved My Life,WQWiLZ1M6xw,2020-12-20T15:36:00Z,272236,12379,168,864,"['Ali Abdaal', 'Ali abdal', '2020 life lessons', 'top 10 life lessons', 'life lessons stories', 'life lessons for success', ""top life lessons i've learned"", ""life lessons i've learned"", 'life lessons from youtubers', 'life lessons from a doctor', 'productivity tips', 'productivity life lessons', 'life lessons', 'time management', 'motivational video', 'day in the life', 'time management tips', 'be more productive', 'how to be happier', 'life lessons for happiness', 'how to be happier and more positive', 'be happier']",Ali Abdaal 12,2020-12-20,2021-02-28,70,3889.0,4.55,0.06,0.32
103,13,39,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,"Love, Money and Relationships - Answering your Assumptions",ZJto0cpF3XU,2020-12-13T17:50:57Z,219799,7760,177,916,"['Ali Abdaal', 'Ali abdal', 'q&a', 'personal questions', 'answering questions', 'personal questions in english', 'ali abdaal money', 'ali abdaal girlfriend', 'answering very personal questions', 'ali abdaal vlog', 'answering personal questions', 'doctor q&a', 'junior doctor', 'ali abdaal leaving medicine', 'ali abdaal youtube', 'day in the life', 'ali abdaal assumptions', 'who is ali abdaal', 'ali abdaal personal life', 'ali abdaal personal q&a']",Ali Abdaal 13,2020-12-13,2021-02-28,77,2855.0,3.53,0.08,0.42
104,14,24,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,Productivity Powerhouse - NEW iPad Air (2020) Review,mSTWHQ5NDIg,2020-11-26T17:00:14Z,328108,8686,262,811,"['Ali Abdaal', 'Ali abdal', 'ipad air 4 review', 'ipad 2020', 'apple ipad 2020 review', 'ipad air review', 'ipad air 2020 review', 'ipad air vs ipad pro', 'ipad air 2020', 'ipad air', 'ipad air 4', 'ali abdaal vlog', 'ipad pro', '2020 ipad air review', '2020 ipad air', 'apple ipad air 4', 'new ipad air', 'apple', 'ipad', 'apple ipad 2020', 'apple ipad', 'ipad air 4 2020', 'ipad pro 2020', 'ipad air 4 vs ipad pro', 'new ipad', 'apple ipad air', 'ipad pro vs ipad air', 'ipad air unboxing', 'apple pencil', 'ipad air 4th gen']",Ali Abdaal 14,2020-11-26,2021-02-28,94,3491.0,2.65,0.08,0.25
105,15,13,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,A &quot;Productive&quot; Day in my Life (Lockdown),5sKPaDmcJH0,2020-11-24T18:00:02Z,290691,11423,308,1020,"['Ali Abdaal', 'Ali abdal', 'day in the life vlog', 'playstation 5 unboxing', 'playstation 5', 'productivity', 'day in the life', 'junior doctor', 'ali abdaal leaving medicine', 'ali abdaal youtube', 'ali abdaal kindle', 'ali abdaal roommate', 'ali abdaal book', 'ali abdaal vlog', 'ali abdaal books', 'ali abdaal ipad', 'day in the life of a doctor', 'productivity tips', 'doctor day in the life', 'productivity 2020', 'junior doctor vlog', 'productivity apps', 'increase productivity', 'how to be productive']",Ali Abdaal 15,2020-11-24,2021-02-28,96,3028.0,3.93,0.11,0.35
106,16,21,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,My PRODUCTIVE Apartment Tour (2021),5wDfRwAmIVY,2020-11-22T18:31:55Z,375538,12825,318,1700,"['Ali Abdaal', 'Ali abdal', 'apartment tour', 'cribs', 'doctor apartment', 'house setup', 'productivity desk setup', 'interior design', 'bachelor pad', 'apartment decoration', 'displate', 'yamaha', 'apartment design', 'apartment setup', 'apartment design ideas', 'small apartment tour', 'apartment tour 2020', 'home decor', 'ali abdaal vlog', 'interior designer', 'interior design tips', 'apartment tour 2019', 'desk setup', 'home tour', 'apartment decorating ideas', 'desk tour', 'desk setup tour', 'small apartment decorating']",Ali Abdaal 16,2020-11-22,2021-02-28,98,3832.0,3.42,0.08,0.45
107,17,47,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,A Productive Day on Vacation in the Canary Islands,uGB2z2IZS0I,2020-11-11T17:29:11Z,131308,5983,257,801,"['Ali Abdaal', 'Ali abdal', 'productivity', 'tenerife', 'vacation', 'ali on vacation', 'canary island', 'canary islands vlog', 'tenerife vlog', 'being productive', 'productivity tips', 'canary islands', 'productivity hacks', 'productivity 2020', 'ali abdaal vlog', 'productivity tricks', 'productivity apps', 'productivity habits', 'productivity tips and tricks', 'tenerife travel vlog', 'tenerife travel guide', 'productivity tips for students', 'be more productive', 'productivity tips at work', 'how to get more done']",Ali Abdaal 17,2020-11-11,2021-02-28,109,1205.0,4.56,0.2,0.61
108,18,25,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,The 5 Key Principles of Productivity,gtRqbbiWU30,2020-10-21T19:01:54Z,257809,11298,159,584,"['Ali Abdaal', 'productivity tips', 'getting things done', 'productivity', 'gtd david allen', 'getting things done david allen', 'productivity apps', 'increase productivity', 'productivity hacks', 'david allen getting things done', 'productivity 2020', 'how to be productive', 'how to be more productive', 'productivity tips and tricks', 'productivity habits', 'getting things done book summary', 'how to increase productivity', 'getting things done by david allen', 'getting things done review', 'productivity tricks']",Ali Abdaal 18,2020-10-21,2021-02-28,130,1983.0,4.38,0.06,0.23
109,19,32,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,How I Bought a Brand New Tesla Half Price,HJyrY3bRTn4,2020-10-18T16:00:04Z,467390,16832,708,1291,"['Ali Abdaal', 'Ali abdal', 'how i bought a tesla', 'tesla model 3 review', 'tesla half price', 'tesla discount', 'how to buy a tesla', 'owning a tesla', 'owning tesla', 'tesla model 3 2020', 'how to get a tesla', ""what it's like having a tesla"", 'financial tesla', 'tesla model 3 performance', 'tesla model 3 interior', '2020 tesla model 3', 'new tesla model 3 review', 'electric car', 'tesla review', 'ali abdaal vlog', 'tesla', 'model 3', 'model 3 review', 'tesla model 3 price', 'new tesla', 'tesla 3', '2020 model 3']",Ali Abdaal 19,2020-10-18,2021-02-28,133,3514.0,3.6,0.15,0.28
110,20,10,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,How I Started Investing in the Stock Market,gFQNPmLKj1k,2020-10-11T17:16:19Z,805298,44813,414,5768,"['Ali Abdaal', 'Ali abdal', 'how to get started with investing', 'how to invest', 'stock market', 'get started with stock market', 'how to invest money', 'how to invest in stocks', 'online brokers', 'S&P 500', 'S&P 500 explained', 'index funds', 'how to invest in index funds', '401k', 'financial terms explained', 'investing explained', 'how to invest money in stock market', 'how to invest in 2020', 'investing in the stock market', 'stock market investing', 'stock market for beginners', 'index funds for beginners']",Ali Abdaal 20,2020-10-11,2021-02-28,140,5752.0,5.56,0.05,0.72
111,21,8,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,How I Remember Everything I Read,AjoxkxM_I5g,2020-10-08T15:44:17Z,910873,42241,836,1838,"['Ali Abdaal', 'Ali abdal', 'how to take notes', 'how to take book notes', 'how to remember what you read', 'how to take efficient notes', 'taking notes with notion', 'ali abdaal vlog', 'note taking', 'how i take notes', 'how to take notes from a textbook', 'note taking techniques', 'effective note taking', 'note taking methods', 'efficient note taking', 'notion for note taking', 'notion tutorial', 'notion setup', 'notion templates', 'how to use notion', 'notion tutorials', 'note taking tips', 'notion app']",Ali Abdaal 21,2020-10-08,2021-02-28,143,6370.0,4.64,0.09,0.2
112,22,27,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,My BIGGEST Rejections in Life,qwywV8VhMkA,2020-10-04T17:00:09Z,295704,14581,263,1156,"['Ali Abdaal', 'Ali abdal', 'failures', 'rejections', 'life leasons', ""things i've learned"", 'things ive learned', 'life lessons after failure', 'overcoming failure', 'overcoming rejection', 'motivation', 'failure motivation', 'motivational video', 'ali abdaal vlog', 'powerful motivational video', 'failure motivational video', 'inspirational video', 'success', 'learning from failure', 'learning from rejection', 'failure stories', 'motivational stories', 'business motivation', 'how to get over failure', 'overcoming fear']",Ali Abdaal 22,2020-10-04,2021-02-28,147,2012.0,4.93,0.09,0.39
113,23,28,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,How to see opportunities in EVERYTHING // The Obstacle is the Way,HJgnBktX5_0,2020-09-29T18:00:01Z,121110,5645,55,334,"['Ali Abdaal', 'Ali abdal', 'Obstacle is the way', 'Book', 'Book club', 'Ryan Holiday', 'Stoicism', 'marcus aurelius', 'adversity to advantage', 'how to find opportunities', 'perception', 'action', 'will', 'stoic philosophy', 'thomas edison', 'nick saban']",Ali Abdaal 23,2020-09-29,2021-02-28,152,797.0,4.66,0.05,0.28
114,24,26,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,The 5 Magical Apps That Changed My Life,lhpY1frNqdA,2020-09-18T16:30:02Z,595128,22272,472,1326,"['Ali Abdaal', 'Ali abdal', 'apps that changed my life', 'life changing apps', 'best apps for podcasts', 'best apps for reading', 'ali abdaal books', 'productivity', 'notion setup', 'how to use notion', 'notion for productivity', 'notion tutorial', 'notion app', 'productivity 2020', 'notion productivity', 'notion apps', 'notion app setup', 'notion app tutorial', 'notion setup 2020', 'my notion setup', 'building a second brain', 'second brain notion', 'tiago forte second brain']",Ali Abdaal 24,2020-09-18,2021-02-28,163,3651.0,3.74,0.08,0.22
115,25,6,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,The Second Brain - A Life-Changing Productivity System,OP3dA2GcAh8,2020-08-20T18:00:04Z,485881,19658,268,715,"['Ali Abdaal', 'Ali abdal', 'building a second brain', 'tiago forte building a second brain', 'tiago forte', 'tiago forte second brain', 'evernote', 'second brain', 'productivity', 'forte labs', 'ali abdaal vlog', 'building a second brain notion', 'knowledge management', 'tiago forte evernote', 'how to build a second brain', 'courses second brain', 'what is a second brain', 'build a second brain', 'note-taking', 'notes', 'gtd', 'second brain cours', 'all tiago forte', 'forte labs second brain course', 'second brain course']",Ali Abdaal 25,2020-08-20,2021-02-28,192,2531.0,4.05,0.06,0.15
116,26,19,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,My Last Day as a Doctor - Reflections,X52jSWjnvC0,2020-08-06T17:15:01Z,724211,23437,582,2050,"['Ali Abdaal', 'Ali abdal', 'leaving medicine', ""why i'm leaving medicine"", 'leaving medicine for another career', 'doctor quits', 'ali abdaal leaving medicine', 'leaving clinical medicine', 'doctors leaving medicine', 'why doctors leave medicine', 'ali abdaal vlog', 'ali abdaal youtube']",Ali Abdaal 26,2020-08-06,2021-02-28,206,3516.0,3.24,0.08,0.28
117,27,7,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,How to Stop Procrastinating,yBP1VjO9RSE,2020-07-28T17:52:51Z,600457,28893,355,1468,"['Ali Abdaal', 'procrastination', 'how to beat procrastination', 'getting over procrastination', 'how to overcome procrastination', 'productivity', 'productive', 'overcoming procrastination', 'how to be productive', 'productivity tips', 'how to stop procrastination', 'beat procrastination', 'how to stop procrastinating', 'be more productive', 'tips to stop procrastination', 'increase productivity', 'how to avoid procrastination', 'how to be more productive', 'productivity hacks', 'time management', 'productivity 2020']",Ali Abdaal 27,2020-07-28,2021-02-28,215,2793.0,4.81,0.06,0.24
118,28,0,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,My INSANELY Productive Morning Routine,mcitELserqk,2020-07-24T15:00:17Z,652062,28878,1732,2235,"['Ali Abdaal', 'Ali abdal', 'productive', 'productivity', 'morning routine', 'routine', 'morning', '2020', 'my morning routine', 'productive morning routine', 'productive morning', 'how to be productive', 'getting up early', 'day in the life', 'junior doctor', 'uk doctor', 'cambridge medicine', 'life as a doctor', 'waking up early', 'being productive', 'productivity 2020', 'morning routine 2020']",Ali Abdaal 28,2020-07-24,2021-02-28,219,2977.0,4.43,0.27,0.34
119,29,36,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,How I Organise My Life with Roam,bpikCLhpIRY,2020-07-21T15:59:34Z,206411,4743,194,638,"['Ali Abdaal', 'Ali abdal', 'roam research', 'how to use roam research', 'how i use roam research', 'notes with roam research', 'taking notes with roam', 'how to organize with roam', 'book notes with roam research', 'how do I use roam research', 'roam research tutorial', 'roam research setup', 'roam research workflow', 'roam research tips', 'roam research guide', 'roam research notion', 'is roam research good', 'roam research overview', 'ali abdaal roam research', 'ali abdaal', 'how to use roam', 'shu omi']",Ali Abdaal 29,2020-07-21,2021-02-28,222,930.0,2.3,0.09,0.31
120,0,2,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,The Market Is Going Negative,aIjeaErC6vM,2021-02-26T23:30:00Z,318124,29965,508,3106,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 0,2021-02-26,2021-02-28,2,159062.0,9.42,0.16,0.98
121,1,21,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,Why Millennials Should NOT Invest,ijWL5VKcgSk,2021-02-24T23:30:04Z,293761,20178,483,4451,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 1,2021-02-24,2021-02-28,4,73440.0,6.87,0.16,1.52
122,2,34,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,The Next Market Crash - 7 Ways To Make Money,royHYG5VHUQ,2021-02-22T23:30:02Z,778440,67782,1074,6000,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 2,2021-02-22,2021-02-28,6,129740.0,8.71,0.14,0.77
123,3,15,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,THE END OF CREDIT SCORES | Major Changes Explained,MlDHV6kKGVY,2021-02-19T23:30:01Z,707252,63351,1337,7658,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 3,2021-02-19,2021-02-28,9,78584.0,8.96,0.19,1.08
124,4,49,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,The Stock Market Is Out Of Control,pMSVRPfuLP0,2021-02-17T23:30:06Z,495635,41545,650,5367,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 4,2021-02-17,2021-02-28,11,45058.0,8.38,0.13,1.08
125,5,20,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,My Response To iDubbbzTV | The Full Story,G3rs2rizX14,2021-02-15T23:30:03Z,194324,18625,321,2667,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit card', 'credit cards for beginners', 'idubbbz', 'idubbbztv', 'idubbbz diss track', 'idubbbz stream', 'content cop', 'finance cop', 'idubbbz bitcoin', 'ian carter', 'h3h3', 'full force', 'h3h3 podcast']",Graham Stephan 5,2021-02-15,2021-02-28,13,14948.0,9.58,0.17,1.37
126,6,6,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,"BITCOIN TO $500,000 - What You MUST Know",Gr_pRSw4ZRw,2021-02-09T23:03:44Z,551624,45127,760,8086,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 6,2021-02-09,2021-02-28,19,29033.0,8.18,0.14,1.47
127,7,24,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,Why You SHOULD NOT Buy A Home,xKLNioOx_ws,2021-02-05T23:30:05Z,447944,30029,573,4631,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 7,2021-02-05,2021-02-28,23,19476.0,6.7,0.13,1.03
128,8,46,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,Why I Left California | The Aftermath,tSXjKErViWw,2021-02-03T23:30:03Z,612289,48383,1058,7069,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 8,2021-02-03,2021-02-28,25,24492.0,7.9,0.17,1.15
129,9,11,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,REVEALING MY FINISHED LAS VEGAS HOME TOUR | LEAVING CALIFORNIA,Ix--Z0vHdv8,2021-02-01T23:30:01Z,1012417,90303,1447,10652,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 9,2021-02-01,2021-02-28,27,37497.0,8.92,0.14,1.05
130,10,17,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,The GameStop Infinite Money Glitch Explained,8YrnTbzuOWM,2021-01-27T21:00:01Z,1537576,108690,1873,11455,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 10,2021-01-27,2021-02-28,32,48049.0,7.07,0.12,0.75
131,11,4,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,6 Millionaire Habits That Changed My Life,1gVZcsJRK1w,2021-01-01T23:30:00Z,818400,111289,1110,4238,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 11,2021-01-01,2021-02-28,58,14110.0,13.6,0.14,0.52
132,12,38,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,Why I Stopped Buying Real Estate,h8R0qQDQebM,2020-12-28T23:30:02Z,592246,45851,1223,3882,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 12,2020-12-28,2021-02-28,62,9552.0,7.74,0.21,0.66
133,13,28,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,Meet The Homeless Man Who Bought A Bugatti | TheStradman,bTecHenYWqA,2020-12-09T23:30:04Z,1884269,131198,1978,6852,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 13,2020-12-09,2021-02-28,81,23263.0,6.96,0.1,0.36
134,14,7,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,Passive Income: How Much You Need Invested To Make $200 Per Day,1k_jJDZ2ym0,2020-12-07T23:30:01Z,760699,58037,720,4164,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 14,2020-12-07,2021-02-28,83,9165.0,7.63,0.09,0.55
135,15,12,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,Revealing My ENTIRE $13 Million Investment Portfolio | 30 Years Old,hn1pjPHQlcQ,2020-12-02T23:30:01Z,739528,41453,719,4144,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 15,2020-12-02,2021-02-28,88,8404.0,5.61,0.1,0.56
136,16,32,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,My Response To MeetKevin | The Full Story,EZEGc8PEC3A,2020-11-20T23:30:01Z,424421,27568,647,2079,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 16,2020-11-20,2021-02-28,100,4244.0,6.5,0.15,0.49
137,17,42,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,10 Things I Stopped Buying | Financial Minimalism,8o_5IPjOUog,2020-11-02T23:30:01Z,381326,25701,581,3197,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 17,2020-11-02,2021-02-28,118,3232.0,6.74,0.15,0.84
138,18,48,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,How I Bought My NEW Las Vegas Home For $0,D32umxevtCU,2020-10-21T22:30:00Z,482119,45570,905,4343,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101', 'leaving california']",Graham Stephan 18,2020-10-21,2021-02-28,130,3709.0,9.45,0.19,0.9
139,19,14,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,27,How Much I Make With 2 Million Subscribers,9vpwTxALZAs,2020-10-16T22:30:01Z,789858,79976,907,7569,"['investing', 'investing for beginners', 'investing in your 20s', 'how to invest', 'how to invest in real estate', 'how to invest in stocks', 'stock market investing', 'stock market investing for beginners', 'stock options', 'robinhood', 'robinhood app', 'best stock trading app', 'how to be a millionaire', 'how to be a millionaire in 3 years', 'credit score', 'credit score explained', 'credit card', 'credit cards for beginners', 'passive income', 'how to build wealth', 'how to build wealth in your 20s', 'real estate 101']",Graham Stephan 19,2020-10-16,2021-02-28,135,5851.0,10.13,0.11,0.96
