,level_0,index,channelId,channelTitle,categoryId,title,videoId,publishedAt,viewCount,likeCount,dislikeCount,commentCount,tags,channelVideoId,datePublished,todayDate,daysPublished,averageViewCount,positiveRating,negativeRating,engagementRating
66,6,14,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,If Programming Was An Anime Part 2,OTfp2_SwxHk,2020-08-24T14:00:11Z,1393132,96129,1056,3739,"['joma', 'vlog', 'programming anime', 'software engineer', 'programming interview', 'phone interview', 'captain sinbad', 'coding interview', 'if programming was an anime', 'software engineer interview', 'computer science', 'software engineering']",Joma Tech 6,2020-08-24,2021-02-28,188,7410.0,6.9,0.08,0.27
67,7,34,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,Coding a whole web app ONLY using my Phone.,0KmUoTfGa34,2020-04-13T14:00:00Z,1528029,61894,1920,4148,"['joma', 'vlog', 'phone', 'web app', 'coding', 'thumb', 'thumbnail', 'joma tech', 'nodejs', 'angularjs', 'javascript', 'software engineering']",Joma Tech 7,2020-04-13,2021-02-28,321,4760.0,4.05,0.13,0.27
68,8,26,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,how coronavirus affects programmers in big tech companies,vT3GUKuAzIs,2020-03-09T23:00:07Z,2658600,71571,1270,1589,"['joma', 'vlog']",Joma Tech 8,2020-03-09,2021-02-28,356,7468.0,2.69,0.05,0.06
69,9,8,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,If Programming Was An Anime,pKO9UjSeLew,2020-02-24T14:00:07Z,5754975,376222,5456,12886,"['joma', 'vlog', 'joma tech', 'programming', 'coding', 'leetcode', 'finding duplicate number', 'anime', 'programming anime', 'python', 'software engineer', 'junior engineer', 'senior engineer']",Joma Tech 9,2020-02-24,2021-02-28,370,15554.0,6.54,0.09,0.22
70,10,6,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,how we write/review code in big tech companies,rR4n-0KYeKQ,2020-02-10T14:00:07Z,5142816,148076,2120,3618,"['joma', 'vlog', 'software engineer', 'code review', 'pull request', 'joma tech', 'junior engineer', 'senior engineer', 'programming', 'coding', 'LGTM']",Joma Tech 10,2020-02-10,2021-02-28,384,13393.0,2.88,0.04,0.07
71,11,13,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,I Got Rejected By A 22-Year Old CEO,HTXTVfBCeSY,2020-01-27T14:00:04Z,1658796,36743,1347,1406,"['joma', 'vlog', 'scale', 'scala ai', 'scaleapi', 'startup', 'alexandr wang', '22 year old CEO', 'interview', 'software engineering', 'software engineer', 'software interview', 'coding interview', 'coding project']",Joma Tech 11,2020-01-27,2021-02-28,398,4168.0,2.22,0.08,0.08
72,12,18,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,Can you solve my favorite interview question? (math + cs),pvimAM_SLic,2020-01-15T14:00:18Z,948473,33163,987,1453,"['joma', 'vlog', 'joma tech', 'interview', 'coding', 'math', 'statistics', 'monte carlo', 'programming', 'coding interview', 'brain teaser', 'math puzzle', 'interview question', 'problem solving', 'programming interview']",Joma Tech 12,2020-01-15,2021-02-28,410,2313.0,3.5,0.1,0.15
73,13,43,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,If American Psycho were about Programmers,uHt01D6rOLI,2019-12-12T20:14:51Z,1244386,54773,1152,1809,"['joma', 'vlog', 'captain sinbad', 'american psycho', 'programmer', 'keyboard', 'mechanical keyboards', 'christian bale', 'patrick bateman', 'software engineer', 'patagonia', 'engineers', 'silicon valley']",Joma Tech 13,2019-12-12,2021-02-28,444,2803.0,4.4,0.09,0.15
74,14,21,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,Interview With My Brother Who Sold His Startup For $60 Million | Machine Learning Engineer,fB7nyxXaczY,2019-10-16T14:00:07Z,940337,17409,332,924,"['joma', 'vlog', 'machine learning', 'deep learning', 'data science', 'artificial intelligence', 'machine learning engineer', 'machine learning models', 'startup', 'appfolio', 'software engineer']",Joma Tech 14,2019-10-16,2021-02-28,501,1877.0,1.85,0.04,0.1
75,15,19,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,All My Job Offers In Tech,rtuKId76DZI,2019-08-29T20:29:24Z,316213,7270,374,474,"['joma', 'vlog', 'software engineer', 'job offer', 'highest paying jobs', 'internship', 'software engineering internship', 'uwaterloo', 'university of waterloo', 'cali or bust', 'university of waterloo engineering', 'university of waterloo computer science', 'computer science', 'programming', 'coding', 'software engineering internship tips', 'computer science jobs', 'computer science degree']",Joma Tech 15,2019-08-29,2021-02-28,549,576.0,2.3,0.12,0.15
